,sbd,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
137,2047302,7.8,6.75,5.25,5.75,3.75,,,,,,6.6,
138,2047303,7.8,5,7.75,8,5.5,,,,,,3.8,
139,2047304,,,,,,,,,,,,
140,2047305,,,,,,,,,,,,
141,2047306,,,,,,,,,,,,
142,2047307,,,,,,,,,,,,
143,2047308,,,,,,,,,,,,
144,2047309,,,,,,,,,,,,
145,2047310,,,,,,,,,,,,
146,2047311,,,,,,,,,,,,
147,2047312,,,,,,,,,,,,
148,2047313,,,,,,,,,,,,
149,2047314,,,,,,,,,,,,
150,2047315,5.6,5.75,6,6.25,5,,,,,,,
151,2047316,,,,,,,,,,,,
152,2047317,,,,,,,,,,,,
153,2047318,8.4,8,8.25,8.25,8.5,,,,,,,
154,2047319,,,,,,,,,,,,
155,2047320,6.4,6.5,7,6.75,4,,,,,,,
156,2047321,,,,,,,,,,,,
157,2047322,,,,,,,,,,,,
158,2047323,,,,,,,,,,,,
159,2047324,,,,,,,,,,,,
160,2047325,,,,,,,,,,,,
161,2047326,,,,,,,,,,,,
162,2047327,7.2,7.75,8.5,8.25,6.75,,,,,,9.2,
163,2047328,,,,,,,,,,,,
164,2047329,8.4,7.5,7,6.25,5.25,,,,,,7.8,
165,2047330,,,,,,,,,,,,
166,2047331,,,,,,,,,,,,
167,2047332,,,,,,,,,,,,
168,2047333,7.2,6.75,7.5,8.5,5,,,,,,,
169,2047334,,,,,,,,,,,,
170,2047335,,,,,,,,,,,,
171,2047336,9,7.5,6,8.5,4.5,,,,,,,
172,2047337,,,,,,,,,,,,
173,2047338,7.8,6,6,4,3.25,,,,,,9,
174,2047339,,,,,,,,,,,,
175,2047340,,,,,,,,,,,,
176,2047341,,,,,,,,,,,,
177,2047342,7.6,4.75,7.25,7.75,6.25,,,,,,,
178,2047343,8.8,7,7.75,7.25,6.5,,,,,,,
179,2047344,7,6.25,7.25,6.5,5.25,,,,,,8.2,
180,2047345,,,,,,,,,,,,
181,2047346,,,,,,,,,,,,
182,2047347,7.8,5.75,6.5,4.5,5,,,,,,7.2,
183,2047348,4.8,5.25,7,4.25,4.5,,,,,,6.4,
184,2047349,7.2,5.25,5.5,6,4,,,,,,7,
185,2047350,7.8,6,6.25,7,5.5,,,,,,8.6,
186,2047351,6,4.75,4,4.75,4.75,,,,,,7.8,
187,2047352,,,,,,,,,,,,
188,2047353,,,,,,,,,,,,
189,2047354,,,,,,,,,,,,
190,2047355,,,,,,,,,,,,
191,2047356,8.6,7.25,6,7,5.5,,,,,,7.6,
192,2047357,,,,,,,,,,,,
193,2047358,7.8,6.25,6.25,8.5,7.75,,,,,,7.8,
194,2047359,7,6,5,7,5,,,,,,8.2,
195,2047360,7.6,5,4,5.75,4.75,,,,,,7.2,
196,2047361,8,7.75,6,6.5,6,,,,,,,
197,2047362,,,,,,,,,,,,
198,2047363,8,6.25,5.25,6.5,3.25,,,,,,7.4,
199,2047364,,,,,,,,,,,,
200,2047365,7,6.5,7.5,7.5,6.25,,,,,,8.2,
201,2047366,7.8,6.5,5.75,5.75,3.75,,,,,,,
202,2047367,,,,,,,,,,,,
203,2047368,,,,,,,,,,,,
204,2047369,8,7.75,6,6.75,4.75,,,,,,8.6,
205,2047370,,,,,,,,,,,,
206,2047371,8,5.5,6,5.5,5.5,,,,,,7.8,
207,2047372,,,,,,,,,,,,
208,2047373,7,6.5,5.75,5.75,7.25,,,,,,7.8,
209,2047374,,,,,,,,,,,,
210,2047375,7.4,7,5.25,6.75,5.75,,,,,,,
211,2047376,,,,,,,,,,,,
212,2047377,7,5.75,7,6.5,4.25,,,,,,8.4,
213,2047378,6.8,7.25,6,5.5,4.75,,,,,,5.4,
214,2047379,5.6,5.75,5.25,4.5,6.5,,,,,,8.2,
215,2047380,6,6,4,4.5,4,,,,,,7.8,
216,2047381,7.6,5,5.5,8.5,5.75,,,,,,8.6,
217,2047382,7.8,6.5,6.5,7,6,,,,,,9.2,
218,2047383,8.8,6.25,7.5,5.25,6.25,,,,,,9.2,
219,2047384,8.4,5.5,5.75,7.25,7.25,,,,,,9,
220,2047385,,,,,,,,,,,,
221,2047386,6.4,5.5,6,6,4.5,,,,,,6.6,
222,2047387,,,,,,,,,,,,
223,2047388,,,,,,,,,,,,
224,2047389,9,6,7.25,6.75,4.5,,,,,,5.4,
225,2047390,7,5.25,3.5,5,4.25,,,,,,9,
226,2047391,5.6,4,5.75,6,3,,,,,,6,
227,2047392,6.8,5.5,4,5.25,5,,,,,,9.2,
228,2047393,7,5.5,6.5,6.5,6.5,,,,,,9,
229,2047394,8.8,6,7.75,8.25,4.75,,,,,,4.2,
230,2047395,6.4,6.5,4.25,2.5,4,,,,,,8.2,
231,2047396,,,,,,,,,,,,
232,2047397,6,5.5,4.5,2,5,,,,,,6,
233,2047398,,,,,,,,,,,,
234,2047399,,,,,,,,,,,,
235,2047400,8.8,7.25,9.25,6.5,5.5,,,,,,9.2,
236,2047401,,,,,,,,,,,,
237,2047402,7.2,6.75,5.25,7.5,3.25,,,,,,6,
238,2047403,7.8,7,6.25,8.75,7.5,,,,,,8.8,
239,2047404,,,,,,,,,,,,
240,2047405,,,,,,,,,,,,
241,2047406,7.6,5.75,5.5,4.5,4.75,,,,,,5,
242,2047407,8,7.25,7.5,6.75,6.25,,,,,,,
243,2047408,,,,,,,,,,,,
244,2047409,6.6,2.5,7.75,6.5,7.5,,,,,,7,
245,2047410,6.8,6.25,7,6,6.5,,,,,,8.8,
246,2047411,,,,,,,,,,,,
247,2047412,,,,,,,,,,,,
248,2047413,,,,,,,,,,,,
249,2047414,,,,,,,,,,,,
250,2047415,7.4,4.25,4.5,4.75,5,,,,,,5.6,
251,2047416,6.6,5,6,5.5,4.5,,,,,,7,
252,2047417,,,,,,,,,,,,
253,2047418,7,7.25,7,5.5,5.5,,,,,,7,
254,2047419,,,,,,,,,,,,
255,2047420,,,,,,,,,,,,
256,2047421,,,,,,,,,,,,
257,2047422,3.8,4,4.5,3.25,2.5,,,,,,3.8,
258,2047423,7.6,7,6.5,7.75,7.75,,,,,,6.4,
259,2047424,,,,,,,,,,,,
260,2047425,,,,,,,,,,,,
261,2047426,,,,,,,,,,,,
262,2047427,,,,,,,,,,,,
263,2047428,,,,,,,,,,,,
264,2047429,,,,,,,,,,,,
265,2047430,7.6,7.25,6.75,7.5,4.25,,,,,,7.2,
266,2047431,,,,,,,,,,,,
267,2047432,,,,,,,,,,,,
268,2047433,7.8,8,6.5,6.75,6.5,,,,,,8.2,
269,2047434,,,,,,,,,,,,
270,2047435,,,,,,,,,,,,
271,2047436,7.8,6.75,6,8.25,8.25,,,,,,6,
272,2047437,,,,,,,,,,,,
273,2047438,7,5.5,6.25,7.5,4.25,,,,,,7.2,
274,2047439,7,6,6.5,5.75,3.75,,,,,,,
275,2047440,7.2,4.75,8.25,8.25,4.75,,,,,,8,
276,2047441,7.4,6.75,7,7.75,4,,,,,,6.4,
277,2047442,6.4,6,6.25,3.75,4,,,,,,4,
278,2047443,7,6.5,5.75,4.25,3.25,,,,,,,
279,2047444,,,,,,,,,,,,
280,2047445,,,,,,,,,,,,
281,2047446,,,,,,,,,,,,
282,2047447,,,,,,,,,,,,
283,2047448,4.4,4.5,4.25,5.75,3,,,,,,4.6,
284,2047449,,,,,,,,,,,,
285,2047450,8,6.5,5.75,8.25,8.25,,,,,,7.4,
286,2047451,,,,,,,,,,,,
287,2047452,,,,,,,,,,,,
288,2047453,7.4,7,7.75,7.75,5.5,,,,,,8.2,
289,2047454,,,,,,,,,,,,
290,2047455,,,,,,,,,,,,
291,2047456,,,,,,,,,,,,
292,2047457,,,,,,,,,,,,
293,2047458,,,,,,,,,,,,
294,2047459,,,,,,,,,,,,
295,2047460,7.4,5.75,5,4.5,3.25,,,,,,6.8,
296,2047461,,,,,,,,,,,,
297,2047462,,,,,,,,,,,,
298,2047463,8.2,6.5,6.75,7.75,5.5,,,,,,5.6,
299,2047464,7.4,7,8,7.75,4.5,,,,,,,
300,2047465,7,5.25,6.5,5,6.25,,,,,,4.2,
301,2047466,,,,,,,,,,,,
302,2047467,,,,,,,,,,,,
303,2047468,,,,,,,,,,,,
304,2047469,7.6,6,7.75,4,4.25,,,,,,8.8,
305,2047470,8.6,7,7.75,6.25,5,,,,,,8.6,
306,2047471,7.6,4.75,5.75,6.75,6,,,,,,6,
307,2047472,7.4,6.5,6.5,5,4,,,,,,8.8,
308,2047473,6.6,4,5,4.25,3.75,,,,,,,
309,2047474,7.2,6.75,7.75,5.5,3.25,,,,,,9,
310,2047475,8,6.25,6,6.5,5,,,,,,5.2,
311,2047476,,,,,,,,,,,,
312,2047477,,,,,,,,,,,,
313,2047478,,,,,,,,,,,,
314,2047479,,,,,,,,,,,,
315,2047480,,,,,,,,,,,,
316,2047481,,,,,,,,,,,,
317,2047482,,,,,,,,,,,,
318,2047483,7.6,6,6.5,5.75,4.75,,,,,,5.2,
319,2047484,7,6,5.25,6.25,4,,,,,,6.2,
320,2047485,,,,,,,,,,,,
321,2047486,7.4,6.25,7.25,7,3,,,,,,6,
322,2047487,,,,,,,,,,,,
323,2047488,5.4,3.75,4.75,4.75,3.5,,,,,,5,
324,2047489,,,,,,,,,,,,
325,2047490,7.6,7,6.75,8.75,5.5,,,,,,8.6,
326,2047491,6.6,6.25,7.25,5.75,5.25,,,,,,4.4,
327,2047492,7.6,8.25,6.75,8.5,5.25,,,,,,,
328,2047493,,,,,,,,,,,,
329,2047494,,,,,,,,,,,,
330,2047495,8.2,8,6.75,6.25,5,,,,,,,
331,2047496,,,,,,,,,,,,
332,2047497,,,,,,,,,,,,
333,2047498,,,,,,,,,,,,
334,2047499,8.8,6.5,8,7.25,6.75,,,,,,8.6,
335,2047500,,,,,,,,,,,,
336,2047501,5.2,5.5,7,6,5.75,,,,,,4.6,
337,2047502,7.8,7.25,7.5,7.25,4.75,,,,,,5.8,
338,2047503,,,,,,,,,,,,
339,2047504,8.4,6.25,8,6.75,5,,,,,,6.6,
340,2047505,,,,,,,,,,,,
341,2047506,,,,,,,,,,,,
342,2047507,5.8,3.5,6.25,5.25,3.5,,,,,,4,
343,2047508,7.4,6.5,7.5,7.25,4.5,,,,,,,
344,2047509,,,,,,,,,,,,
345,2047510,,,,,,,,,,,,
346,2047511,,,,,,,,,,,,
347,2047512,,,,,,,,,,,,
348,2047513,6.2,5,5.5,5.75,3.75,,,,,,7,
349,2047514,7.2,6.5,5.25,8,4,,,,,,,
350,2047515,4.6,3.75,4,3.25,2.5,,,,,,7.2,
351,2047516,,,,,,,,,,,,
352,2047517,8.4,6.5,6.5,6,3.75,,,,,,7.4,
353,2047518,8.2,7,7.25,7.5,6,,,,,,,
354,2047519,7.8,5.5,7.25,8.25,7.25,,,,,,7,
355,2047520,,,,,,,,,,,,
356,2047521,,,,,,,,,,,,
357,2047522,,,,,,,,,,,,
358,2047523,9,7,7.5,8,5.75,,,,,,,
359,2047524,8.2,8,8.5,8.5,7.75,,,,,,9,
360,2047525,,,,,,,,,,,,
361,2047526,,,,,,,,,,,,
362,2047527,,,,,,,,,,,,
363,2047528,8,6.25,6.75,6.5,5.25,,,,,,8,
364,2047529,,,,,,,,,,,,
365,2047530,,,,,,,,,,,,
366,2047531,,,,,,,,,,,,
367,2047532,7.6,7.25,7.75,7,5.5,,,,,,8,
368,2047533,,,,,,,,,,,,
369,2047534,,,,,,,,,,,,
370,2047535,8.2,5.5,6.5,5.25,3.75,,,,,,7.4,
371,2047536,,,,,,,,,,,,
372,2047537,7.8,,3.75,7,5.75,,,,,,,
373,2047538,,,,,,,,,,,,
374,2047539,7.2,5.5,5.5,4,4.5,,,,,,8.2,
375,2047540,,,,,,,,,,,,
376,2047541,,,,,,,,,,,,
377,2047542,,,,,,,,,,,,
378,2047543,7,6.75,6.5,8.5,5.25,,,,,,7.6,
379,2047544,7.4,7.25,8.25,6.5,5.75,,,,,,8.6,
380,2047545,,,,,,,,,,,,
381,2047546,,,,,,,,,,,,
382,2047547,,,,,,,,,,,,
383,2047548,,,,,,,,,,,,
384,2047549,,,,,,,,,,,,
385,2047550,,,,,,,,,,,,
386,2047551,,,,,,,,,,,,
387,2047552,8,6,4.75,5,5.25,,,,,,9.4,
388,2047553,5.4,4.5,5.25,3.5,4,,,,,,4.6,
389,2047554,,,,,,,,,,,,
390,2047555,,,,,,,,,,,,
391,2047556,8.4,5,4.5,8.25,8,,,,,,6.4,
392,2047557,,,,,,,,,,,,
393,2047558,,,,,,,,,,,,
394,2047559,7.8,5.75,8,7.75,5.75,,,,,,7.6,
395,2047560,,,,,,,,,,,,
396,2047561,,,,,,,,,,,,
397,2047562,,,,,,,,,,,,
398,2047563,,,,,,,,,,,,
399,2047564,,,,,,,,,,,,
400,2047565,,,,,,,,,,,,
401,2047566,,,,,,,,,,,,
402,2047567,8.8,,,8.75,8.5,,,,,,,
403,2047568,,,,,,,,,,,,
404,2047569,6.8,7.75,7,6.75,5.25,,,,,,,
405,2047570,7.6,6.5,7.5,8.5,3.75,,,,,,8.2,
406,2047571,6.6,5,4.5,4.5,4.5,,,,,,3.8,
407,2047572,7.6,8,6.25,8,4,,,,,,,
408,2047573,,,,,,,,,,,,
409,2047574,6.2,6.5,4.5,6.25,4,,,,,,6.8,
410,2047575,7.4,6.5,6.25,5.75,8,,,,,,8.4,
411,2047576,,,,,,,,,,,,
412,2047577,,,,,,,,,,,,
413,2047578,,,,,,,,,,,,
414,2047579,6.8,6.5,5.5,5.75,4,,,,,,7.8,
