,sbd,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
575,2047740,,,,,,,,,,,,
576,2047741,,,,,,,,,,,,
577,2047742,,,,,,,,,,,,
578,2047743,,,,,,,,,,,,
579,2047744,,,,,,,,,,,,
580,2047745,,,,,,,,,,,,
581,2047746,,,,,,,,,,,,
582,2047747,,,,,,,,,,,,
583,2047748,,,,,,,,,,,,
584,2047749,,,,,,,,,,,,
585,2047750,,,,,,,,,,,,
586,2047751,,,,,,,,,,,,
587,2047752,,,,,,,,,,,,
588,2047753,7.6,6.75,6.25,7.25,5.5,,,,,,,
589,2047754,7.6,7.25,7.75,5.75,5.5,,,,,,,
590,2047755,,,,,,,,,,,,
591,2047756,7.2,7.5,7,6.75,5.25,,,,,,,
592,2047757,,,,,,,,,,,,
593,2047758,,,,,,,,,,,,
594,2047759,6.8,5,7,5.75,5.5,,,,,,6.6,
595,2047760,5,5.5,6,5.25,3.75,,,,,,,
596,2047761,8.6,5.75,7.75,8.5,4.5,,,,,,7.4,
597,2047762,,,,,,,,,,,,
598,2047763,8.4,,,7,7.25,,,,,,,
599,2047764,6.8,5,5.75,8.25,8,,,,,,9.4,
600,2047765,7,6.75,6.5,6.5,5.75,,,,,,,
601,2047766,,,,,,,,,,,,
602,2047767,7.4,6.25,5.75,4.5,4.75,,,,,,7,
603,2047768,6.6,6,5.5,5.5,4.75,,,,,,6,
604,2047769,7.8,6,7.25,7.25,6,,,,,,7.8,
605,2047770,,,,,,,,,,,,
606,2047771,7.4,,,8.25,8.25,,,,,,,
607,2047772,8,6.25,7,7.75,4.5,,,,,,6.4,
608,2047773,5.4,5.75,3.5,2.25,3.5,,,,,,3.4,
609,2047774,,,,,,,,,,,,
610,2047775,7,5.25,6.5,5,4.75,,,,,,6.6,
611,2047776,6.8,7.5,6,7.5,6.25,,,,,,,
612,2047777,8.2,6.5,6.25,6.75,5,,,,,,7.6,
613,2047778,7.8,6.75,7,8.25,6.25,,,,,,9.4,
614,2047779,6.8,6.75,7.25,8.25,7,,,,,,7.2,
615,2047780,8.2,6.5,7.75,7.25,7.75,,,,,,9.4,
616,2047781,,,,,,,,,,,,
617,2047782,8,,8.5,7.75,2.25,,,,,,6.4,
618,2047783,8.4,8,7,7.25,6.5,,,,,,8.6,
619,2047784,7.6,7.25,4.5,8,5.5,,,,,,6.2,
620,2047785,8,6.5,4,8.75,7.5,,,,,,,
621,2047786,8.2,6.5,6,9.25,7,,,,,,6.2,
622,2047787,,,,,,,,,,,,
623,2047788,7.6,5.75,7,8.25,7,,,,,,,
624,2047789,8.2,6.5,7.25,6.5,7.25,,,,,,4.8,
625,2047790,7.2,6,6,6,5.25,,,,,,4.4,
626,2047791,6.6,6.75,6.25,6.75,3.5,,,,,,6.4,
627,2047792,,,,,,,,,,,,
628,2047793,,,,,,,,,,,,
629,2047794,7.4,7,6.25,8,6,,,,,,6.8,
630,2047795,7.2,,,7.25,6.25,,,,,,,
631,2047796,7.8,6.25,4.5,6.5,5,,,,,,,
632,2047797,7.6,7.25,7.5,8.25,4.75,,,,,,,
633,2047798,7.2,6.75,5.5,7.5,5.25,,,,,,,
634,2047799,7.2,6.25,7.75,7.75,5.75,,,,,,8,
635,2047800,8.4,7.5,7,8,8.5,,,,,,,
636,2047801,6.8,6.25,5.75,6.5,3.5,,,,,,4.8,
637,2047802,8.2,6.25,7,7.25,5,,,,,,9.2,
638,2047803,7.2,7.5,5.25,6.5,5.5,,,,,,,
639,2047804,,,,,,,,,,,,
640,2047805,,,,,,,,,,,,
641,2047806,8.2,7.5,8.5,7.5,7,,,,,,,
642,2047807,5.2,6.25,6,3.5,1.75,,,,,,6,
643,2047808,7.2,5.75,6.25,6.75,6,,,,,,8,
644,2047809,7.6,7.25,4.75,6.75,3.75,,,,,,,
645,2047810,5.4,6,5.5,2.25,3.75,,,,,,5.4,
646,2047811,8.4,8.25,8.25,7.25,5,,,,,,8.2,
647,2047812,7.2,6.25,6.75,8.25,6,,,,,,7.4,
648,2047813,6.8,7,4,8.75,7.5,,,,,,5.6,
649,2047814,9,8.5,8.75,8.5,6.75,,,,,,8.4,
650,2047815,6.4,7.25,5.75,6.75,5.25,,,,,,,
651,2047816,8,8.25,7.5,7.5,7.75,,,,,,9.2,
652,2047817,,,,,,,,,,,,
653,2047818,6.8,7.25,5.25,6.25,4.75,,,,,,6.4,
654,2047819,7.6,6.75,7,7,6,,,,,,9,
655,2047820,7.8,4.25,7.25,6.5,7,,,,,,7.4,
656,2047821,,,,,,,,,,,,
657,2047822,,,,,,,,,,,,
658,2047823,6.8,5,6.75,6.5,4.25,,,,,,6,
659,2047824,,,,,,,,,,,,
660,2047825,7.4,6.25,6,5.5,5.25,,,,,,8.8,
661,2047826,8,6.75,8.75,7,5.25,,,,,,6.8,
662,2047827,8,5.5,6.75,8.25,8.25,,,,,,,
663,2047828,7.8,5.75,6.75,6.75,4.5,,,,,,7.8,
664,2047829,,,,,,,,,,,,
665,2047830,6,7.08,6.75,5.25,4.5,,,,,,8.8,
666,2047831,7.6,5,7,7,6.5,,,,,,6.2,
667,2047832,7.6,6.75,6.25,5.5,4.25,,,,,,8,
668,2047833,,,,,,,,,,,,
669,2047834,8,5.5,5.75,6.25,6.25,,,,,,8.2,
670,2047835,7.4,6,6,6.75,6.25,,,,,,,
671,2047836,,,,,,,,,,,,
672,2047837,2.4,3.25,5.5,3,2.75,,,,,,7.6,
673,2047838,8,7.75,8.5,7.25,5.75,,,,,,7.8,
674,2047839,7.8,7.75,7,6.5,5,,,,,,6,
675,2047840,,,,,,,,,,,,
676,2047841,8.2,7.25,5.75,6.5,5.25,,,,,,8.2,
677,2047842,,,,,,,,,,,,
678,2047843,8,6.75,6.75,6,5.25,,,,,,5.8,
679,2047844,,,,,,,,,,,,
680,2047845,7.6,5.83,5.25,8.75,4,,,,,,8,
681,2047846,,,,,,,,,,,,
682,2047847,,,,,,,,,,,,
683,2047848,3.8,5,4.75,4.25,5,,,,,,4.2,
684,2047849,,,,,,,,,,,,
685,2047850,7.4,7.25,4.25,7.25,4.25,,,,,,7,
686,2047851,,,,,,,,,,,,
687,2047852,6,6.5,6.5,5.5,4.75,,,,,,4,
688,2047853,8,7.25,7.75,7.25,6.25,,,,,,8.4,
689,2047854,7.6,6.25,8.25,8,7,,,,,,,
690,2047855,7.8,6.5,7.5,7.25,7,,,,,,8.8,
691,2047856,,,,,,,,,,,,
692,2047857,,,,,,,,,,,,
693,2047858,8.2,7.75,5.25,6.5,3.5,,,,,,7.6,
694,2047859,,,,,,,,,,,,
695,2047860,7.4,8.25,6.25,7,4.75,,,,,,,
696,2047861,8.4,8.25,7,8,6.5,,,,,,9,
697,2047862,,,,,,,,,,,,
698,2047863,9,6.5,7.25,6.75,5,,,,,,8,
699,2047864,6.8,6.25,5.75,4,4.75,,,,,,5.4,
700,2047865,,,,,,,,,,,,
701,2047866,,,,,,,,,,,,
702,2047867,7.8,8.25,8,6,4.5,,,,,,6.2,
703,2047868,,,,,,,,,,,,
704,2047869,4.8,6.75,4.5,5.25,5,,,,,,4.4,
705,2047870,,,,,,,,,,,,
706,2047871,,,,,,,,,,,,
707,2047872,,,,,,,,,,,,
708,2047873,5,7,5.25,7.75,4,,,,,,8.4,
709,2047874,,,,,,,,,,,,
710,2047875,,,,,,,,,,,,
711,2047876,,,,,,,,,,,,
712,2047877,,,,,,,,,,,,
713,2047878,6.6,4.5,5.5,3.75,6.5,,,,,,7.4,
714,2047879,7.6,6.75,5.75,6.5,4.75,,,,,,6,
715,2047880,,,,,,,,,,,,
716,2047881,7.8,7.5,6.75,7.5,7.25,,,,,,7.4,
717,2047882,,,,,,,,,,,,
718,2047883,5,4.5,3,3.75,3,,,,,,4.4,
719,2047884,,,,,,,,,,,,
720,2047885,,,,,,,,,,,,
721,2047886,,,,,,,,,,,,
722,2047887,,,,,,,,,,,,
723,2047888,,,,,,,,,,,,
724,2047889,8.6,5.75,7,7.25,5.75,,,,,,9.2,
725,2047890,8,6.5,7.5,7.75,5.5,,,,,,,
726,2047891,,,,,,,,,,,,
727,2047892,,,,,,,,,,,,
728,2047893,7.4,6.5,4.5,6.5,5,,,,,,,
729,2047894,7.6,5.75,5.25,7.25,4,,,,,,9.4,
730,2047895,5.6,5.75,5.25,4.75,6.75,,,,,,3,
731,2047896,8,5,6.5,7.25,6,,,,,,7.2,
732,2047897,7.8,7.5,6.5,8.5,7.25,,,,,,7.6,
733,2047898,,,,,,,,,,,,
734,2047899,,,,,,,,,,,,
735,2047900,5.4,4.75,4.5,3.75,3.75,,,,,,,
736,2047901,6.8,6.5,6,6,4,,,,,,8.8,
737,2047902,,,,,,,,,,,,
738,2047903,6.6,6,5.75,7.5,4.25,,,,,,,
739,2047904,,,,,,,,,,,,
740,2047905,,,,,,,,,,,,
741,2047906,,,,,,,,,,,,
742,2047907,,,,,,,,,,,,
743,2047908,,,,,,,,,,,,
744,2047909,8.2,7.5,7.75,6.75,4.5,,,,,,9,
745,2047910,7.4,7,3.25,4.75,3.25,,,,,,6.4,
746,2047911,7.6,6.5,6.75,6.25,4.75,,,,,,9,
747,2047912,7.4,6,6.25,8.75,7,,,,,,,
748,2047913,8.2,7,7,7.25,7.75,,,,,,,
749,2047914,6.8,5,6.75,4.5,5.5,,,,,,8.8,
750,2047915,8,7.5,5.25,8,5,,,,,,6.8,
751,2047916,,,,,,,,,,,,
752,2047917,,,,,,,,,,,,
753,2047918,,,,,,,,,,,,
754,2047919,7.2,6.25,4.25,6.75,4.25,,,,,,6.4,
755,2047920,8.4,7.75,6.75,5.25,4.5,,,,,,7.2,
756,2047921,,,,,,,,,,,,
757,2047922,7.6,7.5,7.25,6.75,7,,,,,,,
758,2047923,9,7,7.5,7.5,6.5,,,,,,6.8,
759,2047924,7.8,5.75,8.75,7,5.25,,,,,,8.2,
760,2047925,6.8,6.75,6.25,6.5,5.75,,,,,,9.8,
761,2047926,,,,,,,,,,,,
762,2047927,,,,,,,,,,,,
763,2047928,8,4.25,5.75,8.75,7.5,,,,,,7.2,
764,2047929,7.8,6,7.5,8,5.75,,,,,,7.2,
765,2047930,7.4,5.5,5.75,8,4.25,,,,,,7.2,
766,2047931,,,,,,,,,,,,
767,2047932,,,,,,,,,,,,
768,2047933,,,,,,,,,,,,
769,2047934,6.6,7.25,7.5,5.25,5.75,,,,,,8,
770,2047935,,,,,,,,,,,,
771,2047936,7.2,5.75,5.5,7,5,,,,,,,
772,2047937,,,,,,,,,,,,
773,2047938,,,,,,,,,,,,
774,2047939,4.4,5.25,4.5,3.75,3.25,,,,,,3.2,
775,2047940,8.4,6,7.75,8,5.5,,,,,,7.4,
776,2047941,,,,,,,,,,,,
777,2047942,,,,,,,,,,,,
778,2047943,,,,,,,,,,,,
779,2047944,7.8,5.25,6.25,6.25,4.75,,,,,,5.6,
780,2047945,6.4,6.75,6.75,5,4,,,,,,6,
781,2047946,7,6.75,6,7,5.75,,,,,,8.2,
782,2047947,7.8,6.5,6.75,8.25,7.75,,,,,,9.6,
783,2047948,,,,,,,,,,,,
784,2047949,9,8.25,7,9,9.25,,,,,,6.4,
785,2047950,7.8,7.75,6,6.25,3.75,,,,,,8.4,
786,2047951,7,5.5,7.5,4.5,4.25,,,,,,8.2,
787,2047952,,,,,,,,,,,,
788,2047953,,,,,,,,,,,,
789,2047954,7.8,5.5,7.5,7,5.75,,,,,,7.2,
790,2047955,,,,,,,,,,,,
791,2047956,7.2,7.25,5.5,7,4.5,,,,,,7.6,
792,2047957,,,,,,,,,,,,
793,2047958,8.4,4.25,8,5.5,5,,,,,,8.8,
794,2047959,7,5.75,6,6.5,3.75,,,,,,5.8,
795,2047960,7,5,6.75,7.75,4.75,,,,,,5,
796,2047961,,,,,,,,,,,,
797,2047962,6.2,7.25,7,7.25,5.5,,,,,,,
798,2047963,,,,,,,,,,,,
799,2047964,7,6.25,4.5,8,7,,,,,,4.2,
800,2047965,,,,,,,,,,,,
801,2047966,,,,,,,,,,,,
802,2047967,,,,,,,,,,,,
803,2047968,7.4,7.58,7,7,7,,,,,,8.4,
804,2047969,8.4,7.25,7.5,8,6.25,,,,,,7.8,
805,2047970,,,,,,,,,,,,
806,2047971,,,,,,,,,,,,
807,2047972,,,,,,,,,,,,
808,2047973,7.2,7.25,7.5,7.5,6.75,,,,,,8,
809,2047974,,,,,,,,,,,,
810,2047975,,,,,,,,,,,,
811,2047976,4.6,5.5,3.25,2.75,3,,,,,,4.4,
812,2047977,6.6,5.25,7,4.25,5.25,,,,,,6.4,
813,2047978,8,5.5,6.5,8,5.25,,,,,,6,
814,2047979,8,5,6.5,4.75,2.75,,,,,,7,
815,2047980,,,,,,,,,,,,
816,2047981,,,,,,,,,,,,
817,2047982,8.8,5.75,8.25,8.5,5,,,,,,5.8,
818,2047983,,,,,,,,,,,,
819,2047984,6.2,5.75,5.5,5.5,4,,,,,,7.6,
820,2047985,,,,,,,,,,,,
821,2047986,7.6,5.5,6.25,7,4.5,,,,,,5.6,
822,2047987,,,,,,,,,,,,
823,2047988,8.4,7.5,6.25,6.75,5.5,,,,,,7.4,
824,2047989,,,,,,,,,,,,
825,2047990,,,,,,,,,,,,
826,2047991,,,,,,,,,,,,
827,2047992,,,,,,,,,,,,
828,2047993,8.2,7,8,8,6,,,,,,9.2,
829,2047994,,,,,,,,,,,,
830,2047995,,,,,,,,,,,,
831,2047996,,,,,,,,,,,,
832,2047997,,,,,,,,,,,,
833,2047998,,,,,,,,,,,,
834,2047999,,,,,,,,,,,,
835,2048000,,,,,,,,,,,,
836,2048001,,,,,,,,,,,,
837,2048002,,,,,,,,,,,,
838,2048003,6,4.75,5.5,3.75,3.25,,,,,,5.2,
839,2048004,7.2,6.5,6.5,6.75,5.25,,,,,,8.6,
840,2048005,5.6,5,4.75,4.5,3,,,,,,4.8,
841,2048006,,,,,,,,,,,,
842,2048007,8.2,7.25,8,7.75,6,,,,,,7,
843,2048008,,,,,,,,,,,,
844,2048009,8,5.5,6.25,7.5,4,,,,,,3.2,
845,2048010,7.6,7.25,5.25,7.75,4.5,,,,,,6.6,
846,2048011,,,,,,,,,,,,
847,2048012,,,,,,,,,,,,
848,2048013,,,,,,,,,,,,
849,2048014,,,,,,,,,,,,
850,2048015,6.2,5,4.25,3.25,4.75,,,,,,6.2,
851,2048016,,,,,,,,,,,,
852,2048017,,,,,,,,,,,,
853,2048018,,,,,,,,,,,,
854,2048019,8.4,6.5,7.5,6,5.5,,,,,,7.2,
855,2048020,,,,,,,,,,,,
856,2048021,,,,,,,,,,,,
857,2048022,,,,,,,,,,,,
858,2048023,8.2,6.25,8.25,5.5,4,,,,,,7.6,
859,2048024,,,,,,,,,,,,
860,2048025,6,6,4,3.75,2.5,,,,,,5.2,
861,2048026,,,,,,,,,,,,
862,2048027,,,,,,,,,,,,
863,2048028,8.2,7.25,6.5,5.5,4.5,,,,,,7.6,
864,2048029,,,,,,,,,,,,
865,2048030,,,,,,,,,,,,
866,2048031,,,,,,,,,,,,
867,2048032,4.8,3.25,5,5.75,3.5,,,,,,9,
868,2048033,,,,,,,,,,,,
869,2048034,6,5.75,5,4.75,4,,,,,,3,
870,2048035,7.8,6,6.75,7.5,6.75,,,,,,5.2,
871,2048036,7.2,6,8.25,6.25,5,,,,,,3.8,
872,2048037,,,,,,,,,,,,
873,2048038,7.6,6,7.75,5.75,4,,,,,,8,
874,2048039,,,,,,,,,,,,
875,2048040,,,,,,,,,,,,
876,2048041,,,,,,,,,,,,
877,2048042,,,,,,,,,,,,
878,2048043,7.4,5.25,5.75,5,3.25,,,,,,5.2,
879,2048044,6.6,6.5,6,6.25,3.5,,,,,,6,
880,2048045,,,,,,,,,,,,
881,2048046,8.2,5,6.5,5,5.5,,,,,,7.6,
882,2048047,,,,,,,,,,,,
883,2048048,7.8,5.75,6.75,8,4,,,,,,6,
884,2048049,7.6,7,6.75,5.75,4.25,,,,,,6.6,
885,2048050,,,,,,,,,,,,
886,2048051,,,,,,,,,,,,
887,2048052,8,8.25,7.5,9,7.25,,,,,,9.2,
888,2048053,7.8,6.5,5.25,7.25,4.5,,,,,,,
889,2048054,5.4,5.5,6.25,4.5,5,,,,,,5,
890,2048055,,,,,,,,,,,,
891,2048056,8.2,6.5,6.75,6.5,6.5,,,,,,9,
892,2048057,,,,,,,,,,,,
893,2048058,6.2,4.92,5.5,4.75,3.25,,,,,,3.6,
894,2048059,,,,,,,,,,,,
895,2048060,,,,,,,,,,,,
896,2048061,,,,,,,,,,,,
897,2048062,,,,,,,,,,,,
898,2048063,,,,,,,,,,,,
899,2048064,,,,,,,,,,,,
900,2048065,,,,,,,,,,,,
901,2048066,7.6,7.25,6.5,8,5.25,,,,,,,
902,2048067,,,,,,,,,,,,
903,2048068,,,,,,,,,,,,
904,2048069,,,,,,,,,,,,
905,2048070,,,,,,,,,,,,
906,2048071,,,,,,,,,,,,
907,2048072,,,,,,,,,,,,
908,2048073,7.8,6.75,7,8,5.75,,,,,,,
909,2048074,,,,,,,,,,,,
910,2048075,,,,,,,,,,,,
911,2048076,,,,,,,,,,,,
912,2048077,8.2,6.75,6.5,8.25,5.75,,,,,,,
913,2048078,,,,,,,,,,,,
914,2048079,,,,,,,,,,,,
915,2048080,,,,,,,,,,,,
916,2048081,,,,,,,,,,,,
917,2048082,6.8,5,5.25,5.75,4.5,,,,,,,
918,2048083,,,,,,,,,,,,
919,2048084,,,,,,,,,,,,
920,2048085,,,,,,,,,,,,
921,2048086,5.2,6,5,4.75,4,,,,,,5,
922,2048087,,,,,,,,,,,,
923,2048088,6.4,5.75,6.25,6,4.75,,,,,,5.6,
924,2048089,,,,,,,,,,,,
925,2048090,,,,,,,,,,,,
926,2048091,,,,,,,,,,,,
927,2048092,,,,,,,,,,,,
928,2048093,8.4,7,4.25,7.75,5,,,,,,5.8,
929,2048094,8.4,5.5,5.75,7.25,7.5,,,,,,7.2,
930,2048095,6,7,4,4.75,3.75,,,,,,6.6,
931,2048096,8,7,7,7.5,7,,,,,,,
932,2048097,,,,,,,,,,,,
933,2048098,,,,,,,,,,,,
934,2048099,8.6,6.25,7.25,7.5,4.5,,,,,,6.6,
935,2048100,,,,,,,,,,,,
936,2048101,5.2,6.75,6.5,4.75,5.5,,,,,,4.4,
937,2048102,8,7.25,5.75,6.75,4,,,,,,7,
938,2048103,8.4,6.5,7.25,7,5.25,,,,,,,
939,2048104,,,,,,,,,,,,
940,2048105,,,,,,,,,,,,
941,2048106,,,,,,,,,,,,
942,2048107,6.2,7.75,5.75,7,4.75,,,,,,,
943,2048108,,,,,,,,,,,,
944,2048109,,,,,,,,,,,,
945,2048110,7.6,4.25,5.5,7.25,5.75,,,,,,,
946,2048111,,,,,,,,,,,,
947,2048112,,,,,,,,,,,,
948,2048113,7,5.83,7.5,7.5,4,,,,,,8.6,
949,2048114,8.4,6.33,9,8.75,6.25,,,,,,6.6,
950,2048115,7.4,7.25,7,6.5,5.75,,,,,,7.2,
951,2048116,8.2,5.75,8,6.75,6.25,,,,,,9.8,
952,2048117,,,,,,,,,,,,
953,2048118,,,,,,,,,,,,
954,2048119,6.4,5.75,6,7.5,5.5,,,,,,7.8,
955,2048120,7.8,6.75,7.75,7,4.5,,,,,,6.2,
956,2048121,7.8,6.75,8.25,8.75,7.5,,,,,,9.4,
957,2048122,7.8,6,5,6.75,5,,,,,,6.4,
958,2048123,,,,,,,,,,,,
959,2048124,7.2,6,5.75,5.5,4,,,,,,7.6,
960,2048125,7.6,7.25,6.5,8,5,,,,,,,
961,2048126,,,,,,,,,,,,
962,2048127,8.6,6.25,7,5.5,6.25,,,,,,5.2,
963,2048128,,,,,,,,,,,,
964,2048129,,,,,,,,,,,,
965,2048130,,,,,,,,,,,,
966,2048131,7.6,6.5,6,7.75,4.75,,,,,,8.4,
967,2048132,,,,,,,,,,,,
968,2048133,,,,,,,,,,,,
969,2048134,,,,,,,,,,,,
970,2048135,,,,,,,,,,,,
971,2048136,,,,,,,,,,,,
972,2048137,,,,,,,,,,,,
973,2048138,6.6,6.5,5.25,7.5,7,,,,,,7.8,
974,2048139,7,5,8,6.25,2.5,,,,,,5.8,
975,2048140,8.4,5.75,8,9,7.5,,,,,,9.2,
976,2048141,7,6.25,5.5,5.75,4.5,,,,,,5.6,
977,2048142,,,,,,,,,,,,
978,2048143,7.6,7.5,7.5,8.5,2.5,,,,,,4,
979,2048144,8,7.25,7.25,6,6.5,,,,,,7.6,
980,2048145,4.2,5.75,4.75,5.5,2,,,,,,6.4,
981,2048146,5.6,3.75,6,4.5,3.75,,,,,,3,
982,2048147,,,,,,,,,,,,
983,2048148,,,,,,,,,,,,
984,2048149,7.2,5.5,6.5,7.5,5.75,,,,,,8.2,
985,2048150,7.8,6.58,6.5,8.5,8.25,,,,,,9.4,
986,2048151,6.8,2.5,4.75,3.75,3.75,,,,,,2.8,
987,2048152,,,,,,,,,,,,
988,2048153,,,,,,,,,,,,
989,2048154,7.2,7,5.75,7.75,6.5,,,,,,6.8,
990,2048155,,,,,,,,,,,,
991,2048156,7.8,6,6,8.5,5,,,,,,,
992,2048157,8,7,5.75,5.25,4.5,,,,,,8.8,
993,2048158,,,,,,,,,,,,
994,2048159,,,,,,,,,,,,
995,2048160,,,,,,,,,,,,
996,2048161,,,,,,,,,,,,
997,2048162,,,,,,,,,,,,
998,2048163,4.8,4,4.25,4,3.25,,,,,,5.8,
999,2048164,,,,,,,,,,,,
1000,2048165,7.6,5.75,5.75,5.25,4.25,,,,,,8,
1001,2048166,,,,,,,,,,,,
1002,2048167,7.4,7.75,6.25,5.75,4,,,,,,5.2,
1003,2048168,,,,,,,,,,,,
1004,2048169,,,,,,,,,,,,
1005,2048170,,,,,,,,,,,,
1006,2048171,,,,,,,,,,,,
1007,2048172,,,,,,,,,,,,
1008,2048173,,,,,,,,,,,,
1009,2048174,,,,,,,,,,,,
1010,2048175,,,,,,,,,,,,
1011,2048176,,,,,,,,,,,,
1012,2048177,,,,,,,,,,,,
1013,2048178,,,,,,,,,,,,
1014,2048179,,,,,,,,,,,,
1015,2048180,,,,,,,,,,,,
1016,2048181,,,,,,,,,,,,
1017,2048182,,,,,,,,,,,,
1018,2048183,,,,,,,,,,,,
1019,2048184,,,,,,,,,,,,
1020,2048185,,,,,,,,,,,,
1021,2048186,,,,,,,,,,,,
1022,2048187,,,,,,,,,,,,
1023,2048188,,,,,,,,,,,,
1024,2048189,,,,,,,,,,,,
1025,2048190,,,,,,,,,,,,
1026,2048191,,,,,,,,,,,,
1027,2048192,,,,,,,,,,,,
1028,2048193,,,,,,,,,,,,
1029,2048194,,,,,,,,,,,,
1030,2048195,,,,,,,,,,,,
1031,2048196,,,,,,,,,,,,
1032,2048197,,,,,,,,,,,,
1033,2048198,,,,,,,,,,,,
1034,2048199,,,,,,,,,,,,
1035,2048200,,,,,,,,,,,,
1036,2048201,,,,,,,,,,,,
1037,2048202,,,,,,,,,,,,
1038,2048203,,,,,,,,,,,,
1039,2048204,,,,,,,,,,,,
1040,2048205,,,,,,,,,,,,
1041,2048206,,,,,,,,,,,,
1042,2048207,,,,,,,,,,,,
1043,2048208,,,,,,,,,,,,
1044,2048209,,,,,,,,,,,,
1045,2048210,,,,,,,,,,,,
1046,2048211,,,,,,,,,,,,
1047,2048212,,,,,,,,,,,,
1048,2048213,8.2,6,6.5,7.5,4.25,,,,,,8.2,
1049,2048214,7.6,7.5,6.5,6.75,5.5,,,,,,9.2,
1050,2048215,,,,,,,,,,,,
1051,2048216,7.8,7.25,7.25,7.75,6.75,,,,,,8.8,
1052,2048217,8.2,7,8.25,8.5,6.75,,,,,,8.8,
1053,2048218,8.4,6.75,7.75,8,5.75,,,,,,9.6,
1054,2048219,,,,,,,,,,,,
1055,2048220,8.6,7.25,7,5.5,3.75,,,,,,8,
1056,2048221,7.4,6.25,6.5,4.75,4,,,,,,8.4,
1057,2048222,7.2,7.25,4.25,6.5,4.75,,,,,,7.8,
1058,2048223,,,,,,,,,,,,
1059,2048224,8.2,5.75,7,8,6,,,,,,8,
1060,2048225,,,,,,,,,,,,
1061,2048226,7,6.25,3.75,7,6,,,,,,5.4,
1062,2048227,8.6,5.5,7.75,5.75,3.25,,,,,,9.6,
1063,2048228,8.6,7.5,6.25,9.25,6.5,,,,,,8.6,
1064,2048229,8.4,7.75,7,8.5,8.75,,,,,,7.8,
1065,2048230,7.6,5.75,3.75,8.75,7.5,,,,,,6.2,
1066,2048231,,,,,,,,,,,,
1067,2048232,,,,,,,,,,,,
1068,2048233,,,,,,,,,,,,
1069,2048234,8.4,7.5,7,8.25,5.25,,,,,,9,
1070,2048235,,,,,,,,,,,,
1071,2048236,9.6,5.75,7.75,8.25,6,,,,,,8.2,
1072,2048237,7.8,5.5,5,7.5,8,,,,,,9.2,
1073,2048238,8.2,5.75,6.5,8.5,4.5,,,,,,9,
1074,2048239,7.8,7.25,9,7.5,6,,,,,,7.8,
1075,2048240,5.2,6.75,3.25,2,3,,,,,,3.6,
1076,2048241,,,,,,,,,,,,
1077,2048242,,,,,,,,,,,,
1078,2048243,,,,,,,,,,,,
1079,2048244,,,,,,,,,,,,
1080,2048245,9,8.5,6.5,7.25,5,,,,,,8.4,
1081,2048246,,,,,,,,,,,,
1082,2048247,7.8,6,6,9,5.25,,,,,,8,
1083,2048248,8.4,7,6.5,7.25,6,,,,,,7.8,
1084,2048249,8.6,7,8.5,9,6,,,,,,7,
1085,2048250,7.6,7.25,7,7,5.5,,,,,,8,
1086,2048251,7.8,7.5,8,8.75,5.75,,,,,,8.6,
1087,2048252,9,6.25,7.5,7.5,5.75,,,,,,8.8,
1088,2048253,,,,,,,,,,,,
1089,2048254,8.4,7,4.75,6.5,3.25,,,,,,6.8,
1090,2048255,,,,,,,,,,,,
1091,2048256,,,,,,,,,,,,
1092,2048257,,,,,,,,,,,,
1093,2048258,8.4,6.5,7.75,8,6.25,,,,,,7.6,
1094,2048259,8,6.25,7.25,7.25,5,,,,,,7.8,
1095,2048260,7.2,7,7,6,5.25,,,,,,8.4,
1096,2048261,,,,,,,,,,,,
1097,2048262,9.2,6.75,8,8.75,8,,,,,,7,
1098,2048263,8.4,6,4,7.5,7,,,,,,7,
1099,2048264,7.8,7,5,8.25,6,,,,,,9.4,
1100,2048265,8,7.75,8,7.5,4.75,,,,,,8,
1101,2048266,,,,,,,,,,,,
1102,2048267,,,,,,,,,,,,
1103,2048268,8.6,8,8.75,8.25,7,,,,,,9,
1104,2048269,7.8,8,7.75,6.75,3.5,,,,,,9,
1105,2048270,8,6.25,6.5,8.25,8.75,,,,,,6.4,
1106,2048271,8.6,7.25,8,8.75,7.25,,,,,,9,
1107,2048272,8,7,6.5,7.25,6,,,,,,9.6,
1108,2048273,,,,,,,,,,,,
1109,2048274,,,,,,,,,,,,
1110,2048275,8.2,4.75,4.5,7.75,6.75,,,,,,8.4,
1111,2048276,,,,,,,,,,,,
1112,2048277,7.8,6.25,6.5,5.75,4.5,,,,,,8,
1113,2048278,,,,,,,,,,,,
1114,2048279,,,,,,,,,,,,
1115,2048280,7.8,4.5,6.5,6.5,6,,,,,,9.6,
1116,2048281,9,7,7.75,8.75,7.25,,,,,,8.2,
1117,2048282,8.8,6.25,6.25,7.5,5,,,,,,7.2,
1118,2048283,,,,,,,,,,,,
1119,2048284,8.4,7,8.5,6.75,5.75,,,,,,8.4,
1120,2048285,8.4,6.25,8.25,7.5,6,,,,,,5.4,
1121,2048286,7.6,6.75,5.75,8,5.75,,,,,,,
1122,2048287,7.2,7.5,4,4.5,4.25,,,,,,8.4,
1123,2048288,,,,,,,,,,,,
1124,2048289,8,,,7.75,7,,,,,,,
1125,2048290,7.8,7,6.75,7,5,,,,,,7.8,
1126,2048291,7.6,,,6.25,7.75,,,,,,,
1127,2048292,,,,,,,,,,,,
